POP N MAF Chrom NS SS pNpS private TH.pNpS TH.private Status
AT_gr_12_fall 37440 0 genomewide 55386 160283 0.345551306127287 4.57333584006607 Keep Keep Keep
AT_gr_12_spring 15109 0 genomewide 46837 141806 0.330289268437161 4.17923572119848 Keep Keep Keep
AT_Mau_14_01 635951 0 genomewide 263328 189326 1.39087077316375 5.80342365456442 Exclude Exclude Exclude
AT_Mau_14_02 565513 0 genomewide 242949 186598 1.30199144685366 5.75244259292791 Exclude Exclude Exclude
AT_Mau_15_50 29050 0 genomewide 63215 166702 0.379209607563197 4.46314613672635 Keep Keep Keep
AT_Mau_15_51 14018 0 genomewide 61613 155664 0.395807636961661 4.14668605564753 Keep Keep Keep
AT_See_14_44 308019 0 genomewide 167051 179054 0.932964357121315 5.4885775065675 Keep Exclude Exclude
AT_See_16_1 59141 0 genomewide 71888 180763 0.397692005554234 4.77188866362619 Keep Keep Keep
BY_Bre_15_13 11004 0 genomewide 55950 147676 0.378869958557924 4.04155058171765 Keep Keep Keep
CA_es_12_fall 13406 0 genomewide 59032 170427 0.346377041196524 4.12729921505771 Keep Keep Keep
CA_es_12_frost 12779 0 genomewide 58916 170760 0.345022253455142 4.10649687013897 Keep Keep Keep
CA_es_12_spring 20028 0 genomewide 63834 178624 0.357365191687567 4.30163758272687 Keep Keep Keep
CA_es_13_fall 21206 0 genomewide 65903 182659 0.360797989696648 4.32645875707122 Keep Keep Keep
CA_es_13_spring 16905 0 genomewide 62513 175791 0.355609786621613 4.22801517510179 Keep Keep Keep
CA_pl_12_fall 17894 0 genomewide 70075 192355 0.364300382106002 4.25270743300728 Keep Keep Keep
CA_pl_12_frost 12291 0 genomewide 60138 172851 0.347918149157367 4.08958721867281 Keep Keep Keep
CA_pl_13_fall 20070 0 genomewide 66792 185679 0.359717577108881 4.30254737248749 Keep Keep Keep
CA_pl_13_frost 17139 0 genomewide 63891 179155 0.35662415227038 4.23398547878021 Keep Keep Keep
CA_st_12_fall 8066 0 genomewide 54272 161526 0.335995443458019 3.9066582176716 Keep Keep Keep
CA_st_12_frost 11437 0 genomewide 57021 166731 0.341993990319737 4.05831212110839 Keep Keep Keep
CA_st_13_fall 23751 0 genomewide 67129 183710 0.365407435632246 4.37568189965937 Keep Keep Keep
CA_tu_12_fall 10953 0 genomewide 54189 159029 0.340749171534752 4.03953308766939 Keep Keep Keep
CA_tu_12_frost 20813 0 genomewide 69748 190169 0.366768505907903 4.31833468422614 Keep Keep Keep
CA_tu_13_fall 24713 0 genomewide 71546 192245 0.372160524330932 4.39292546917228 Keep Keep Keep
CA_tu_13_frost 10421 0 genomewide 60820 176422 0.344741585516546 4.01790939589669 Keep Keep Keep
CA_tu_13_spring 10317 0 genomewide 60191 173243 0.347436837274811 4.01355343054168 Keep Keep Keep
CH_Cha_14_42 48017 0 genomewide 65388 160245 0.40805017317233 4.68139502277337 Keep Keep Keep
CH_Cha_14_43 406416 0 genomewide 192577 175302 1.09854422653478 5.60897079714724 Exclude Exclude Exclude
