POP	Continent	FILE	Pi	Watterson	Tajima_D
AT_gr_12_fall	Europe	PoolSNP	0.004809	0.004779	0.039992
AT_gr_12_spring	Europe	PoolSNP	0.004764	0.004753	0.025244
AT_Mau_14_01	Europe	PoolSNP	0.004883	0.004942	-0.037343
AT_Mau_14_02	Europe	PoolSNP	0.004912	0.004967	-0.032089
AT_Mau_15_50	Europe	PoolSNP	0.004872	0.004696	0.160946
AT_Mau_15_51	Europe	PoolSNP	0.004932	0.004763	0.151906
AT_See_14_44	Europe	PoolSNP	0.005097	0.005125	-0.010159
AT_See_16_1	Europe	PoolSNP	0.005122	0.005098	0.028589
B	Asia	PoolSNP	0.003794	0.003749	0.698387
BY_Bre_15_13	Europe	PoolSNP	0.004742	0.004568	0.179933
CA_es_12_fall	North America	PoolSNP	0.005109	0.005117	0.000560
CA_es_12_frost	North America	PoolSNP	0.005204	0.005215	-0.001913
CA_es_12_spring	North America	PoolSNP	0.005189	0.005232	-0.029897
CA_es_13_fall	North America	PoolSNP	0.005249	0.005341	-0.066723
CA_es_13_spring	North America	PoolSNP	0.005168	0.005185	-0.005045
CA_pl_12_fall	North America	PoolSNP	0.005091	0.005172	-0.052770
CA_pl_12_frost	North America	PoolSNP	0.005204	0.005216	-0.002776
CA_pl_13_fall	North America	PoolSNP	0.005252	0.005320	-0.044034
CA_pl_13_frost	North America	PoolSNP	0.005212	0.005226	-0.001270
CA_st_12_fall	North America	PoolSNP	0.005057	0.005100	-0.038290
CA_st_12_frost	North America	PoolSNP	0.005128	0.005166	-0.033480
CA_st_13_fall	North America	PoolSNP	0.005175	0.005197	-0.008088
CA_tu_12_fall	North America	PoolSNP	0.005159	0.005248	-0.076991
CA_tu_12_frost	North America	PoolSNP	0.005210	0.005253	-0.023222
CA_tu_13_fall	North America	PoolSNP	0.005245	0.005286	-0.020844
CA_tu_13_frost	North America	PoolSNP	0.005219	0.005251	-0.018895
CA_tu_13_spring	North America	PoolSNP	0.005084	0.005097	-0.002847
CH_Cha_14_42	Europe	PoolSNP	0.005284	0.005208	0.073628
CH_Cha_14_43	Europe	PoolSNP	0.005184	0.005235	-0.046220
CH_Cha_15_39	Europe	PoolSNP	0.005208	0.004871	0.315940
CH_Cha_16_38	Europe	PoolSNP	0.005127	0.004985	0.141189
CO	Africa	PoolSNP	0.005829	0.005795	0.112341
CY_Nic_14_11	Europe	PoolSNP	0.005230	0.005013	0.183379
DE_Bro_14_14	Europe	PoolSNP	0.005042	0.005064	-0.003816
DE_Bro_14_15	Europe	PoolSNP	0.004909	0.004922	-0.002982
DE_Bro_15_53	Europe	PoolSNP	0.005174	0.005150	0.026949
DE_Bro_15_54	Europe	PoolSNP	0.005131	0.005164	-0.015137
DE_Bro_16_10	Europe	PoolSNP	0.004860	0.004850	0.017857
DE_Bro_16_11	Europe	PoolSNP	0.004851	0.004870	-0.005543
DE_Mun_14_31	Europe	PoolSNP	0.005155	0.004972	0.165991
DE_Mun_14_32	Europe	PoolSNP	0.005281	0.005243	0.030188
DE_Mun_15_45	Europe	PoolSNP	0.005243	0.005156	0.073977
DE_Mun_15_46	Europe	PoolSNP	0.005121	0.005024	0.087349
DE_Mun_16_12	Europe	PoolSNP	0.004986	0.004888	0.094613
DE_Mun_16_13	Europe	PoolSNP	0.005119	0.005107	0.013912
DK_Kar_14_39	Europe	PoolSNP	0.004946	0.004916	0.037959
DK_Kar_14_41	Europe	PoolSNP	0.004909	0.004873	0.044672
DK_Kar_16_2	Europe	PoolSNP	0.004363	0.003645	0.756452
DK_Kar_16_3	Europe	PoolSNP	0.004584	0.004135	0.465707
DK_Kar_16_4	Europe	PoolSNP	0.004569	0.004192	0.384409
EA	Africa	PoolSNP	0.006340	0.006287	0.140789
EB	Africa	PoolSNP	0.005468	0.005451	NA
ED	Africa	PoolSNP	0.005401	0.005392	NA
EF	Africa	PoolSNP	0.005067	0.004746	0.364231
EG	Africa	PoolSNP	0.005148	0.005069	0.136019
ER	Africa	PoolSNP	0.005289	0.005281	NA
ES_ba_12_fall	Europe	PoolSNP	0.005240	0.005233	0.009938
ES_ba_12_spring	Europe	PoolSNP	0.005172	0.005174	-0.002326
ES_Ben_16_32	Europe	PoolSNP	0.004990	0.004992	0.014994
