No	FILE	CHROM	POP	DATASET	Watterson	Pi	Tajima_D	pn_ps
1	PoolSNP_2020.08.22	2L	AT_gr_12_fall	Europe_PoolSNP	0.006788	0.007099	0.1889	0.372579438
2	PoolSNP_2020.08.22	2R	AT_gr_12_fall	Europe_PoolSNP	0.005199	0.005245	0.036889	0.366005991
3	PoolSNP_2020.08.22	3L	AT_gr_12_fall	Europe_PoolSNP	0.005481	0.005418	-0.047476	0.382367816
4	PoolSNP_2020.08.22	3R	AT_gr_12_fall	Europe_PoolSNP	0.005157	0.005033	-0.099686	0.419044726
5	PoolSNP_2020.08.22	X	AT_gr_12_fall	Europe_PoolSNP	0.00324	0.003352	0.180062	0.31704368
6	PoolSNP_2020.08.22	2L	AT_gr_12_spring	Europe_PoolSNP	0.006913	0.007014	0.078822	0.361673668
7	PoolSNP_2020.08.22	2R	AT_gr_12_spring	Europe_PoolSNP	0.005183	0.005189	0.006767	0.353186646
8	PoolSNP_2020.08.22	3L	AT_gr_12_spring	Europe_PoolSNP	0.005371	0.005371	0.000058	0.365542058
9	PoolSNP_2020.08.22	3R	AT_gr_12_spring	Europe_PoolSNP	0.004972	0.004864	-0.117439	0.401885195
10	PoolSNP_2020.08.22	X	AT_gr_12_spring	Europe_PoolSNP	0.003413	0.003437	0.064051	0.307515514
11	PoolSNP_2020.08.22	2L	AT_Mau_14_01	Europe_PoolSNP	0.006475	0.006337	-0.098357	0.409530559
12	PoolSNP_2020.08.22	2R	AT_Mau_14_01	Europe_PoolSNP	0.005177	0.005138	-0.035246	0.418167206
13	PoolSNP_2020.08.22	3L	AT_Mau_14_01	Europe_PoolSNP	0.005188	0.005174	-0.012496	0.423048618
14	PoolSNP_2020.08.22	3R	AT_Mau_14_01	Europe_PoolSNP	0.004554	0.004401	-0.154314	0.474276772
15	PoolSNP_2020.08.22	X	AT_Mau_14_01	Europe_PoolSNP	0.003378	0.003459	0.153766	0.327385996
16	PoolSNP_2020.08.22	2L	AT_Mau_14_02	Europe_PoolSNP	0.006532	0.006402	-0.090841	0.413346633
17	PoolSNP_2020.08.22	2R	AT_Mau_14_02	Europe_PoolSNP	0.005235	0.005211	-0.020444	0.420193956
18	PoolSNP_2020.08.22	3L	AT_Mau_14_02	Europe_PoolSNP	0.005244	0.005219	-0.022531	0.426960896
19	PoolSNP_2020.08.22	3R	AT_Mau_14_02	Europe_PoolSNP	0.004534	0.004386	-0.149132	0.47952605
