CHROM	POP	DATASET	Pi	Watterson	Tajima_D
2L	AT_gr_12_fall	Europe_PoolSNP	0.006449	0.006458	-0.006592
2L	AT_gr_12_spring	Europe_PoolSNP	0.005955	0.005997	-0.037513
2L	AT_Mau_14_01	Europe_PoolSNP	0.006337	0.006475	-0.098357
2L	AT_Mau_14_02	Europe_PoolSNP	0.006402	0.006532	-0.090841
2L	AT_Mau_15_50	Europe_PoolSNP	0.006375	0.006204	0.108357
2L	AT_Mau_15_51	Europe_PoolSNP	0.006667	0.006392	0.172796
2L	AT_See_14_44	Europe_PoolSNP	0.006897	0.006864	0.021653
2L	AT_See_16_1	Europe_PoolSNP	0.006717	0.006645	0.044551
2L	BY_Bre_15_13	Europe_PoolSNP	0.006076	0.006013	0.043304
2L	CA_es_12_fall	North America_PoolSNP	0.006171	0.006188	-0.011816
2L	CA_es_12_frost	North America_PoolSNP	0.006375	0.006422	-0.033868
2L	CA_es_12_spring	North America_PoolSNP	0.006353	0.006415	-0.041393
2L	CA_es_13_fall	North America_PoolSNP	0.006366	0.006506	-0.089881
2L	CA_es_13_spring	North America_PoolSNP	0.006295	0.006343	-0.032661
2L	CA_pl_12_fall	North America_PoolSNP	0.006184	0.006342	-0.095393
2L	CA_pl_12_frost	North America_PoolSNP	0.006263	0.006286	-0.016722
2L	CA_pl_13_fall	North America_PoolSNP	0.006448	0.006572	-0.078381
2L	CA_pl_13_frost	North America_PoolSNP	0.006372	0.006420	-0.032220
2L	CA_st_12_fall	North America_PoolSNP	0.006047	0.006068	-0.015914
2L	CA_st_12_frost	North America_PoolSNP	0.006117	0.006130	-0.009761
2L	CA_st_13_fall	North America_PoolSNP	0.006267	0.006338	-0.046702
2L	CA_tu_12_fall	North America_PoolSNP	0.006299	0.006437	-0.099516
2L	CA_tu_12_frost	North America_PoolSNP	0.006412	0.006514	-0.062835
2L	CA_tu_13_fall	North America_PoolSNP	0.006442	0.006535	-0.056710
2L	CA_tu_13_frost	North America_PoolSNP	0.006364	0.006427	-0.043352
2L	CA_tu_13_spring	North America_PoolSNP	0.006125	0.006139	-0.009692
2L	CH_Cha_14_42	Europe_PoolSNP	0.007212	0.006918	0.194541
2L	CH_Cha_14_43	Europe_PoolSNP	0.007006	0.007030	-0.018059
2L	CH_Cha_15_39	Europe_PoolSNP	0.006834	0.006367	0.325061
2L	CH_Cha_16_38	Europe_PoolSNP	0.006991	0.006721	0.179337
2L	CO	Africa_PoolSNP	0.006987	0.006982	0.011464
2L	CY_Nic_14_11	Europe_PoolSNP	0.006861	0.006436	0.266577
2L	DE_Bro_14_14	Europe_PoolSNP	0.006520	0.006580	-0.036748
2L	DE_Bro_14_15	Europe_PoolSNP	0.005920	0.005974	-0.039223
2L	DE_Bro_15_53	Europe_PoolSNP	0.006874	0.006743	0.079607
2L	DE_Bro_15_54	Europe_PoolSNP	0.006605	0.006604	0.000315
2L	DE_Bro_16_10	Europe_PoolSNP	0.005799	0.005814	-0.011130
2L	DE_Bro_16_11	Europe_PoolSNP	0.005976	0.006118	-0.097597
2L	DE_Mun_14_31	Europe_PoolSNP	0.007079	0.006701	0.256237
2L	DE_Mun_14_32	Europe_PoolSNP	0.007326	0.007075	0.165659
2L	DE_Mun_15_45	Europe_PoolSNP	0.007117	0.006813	0.189484
2L	DE_Mun_15_46	Europe_PoolSNP	0.006458	0.006353	0.068235
2L	DE_Mun_16_12	Europe_PoolSNP	0.006344	0.006322	0.014522
2L	DE_Mun_16_13	Europe_PoolSNP	0.006823	0.006718	0.065135
2L	DK_Kar_14_39	Europe_PoolSNP	0.005977	0.005999	-0.016748
2L	DK_Kar_14_41	Europe_PoolSNP	0.005917	0.005917	-0.000300
2L	DK_Kar_16_2	Europe_PoolSNP	0.006197	0.004783	1.204943
2L	DK_Kar_16_3	Europe_PoolSNP	0.006065	0.005491	0.433823
2L	DK_Kar_16_4	Europe_PoolSNP	0.005877	0.005584	0.211541
2L	EA	Africa_PoolSNP	0.007192	0.007171	0.185007
2L	EB	Africa_PoolSNP	0.006439	0.006421	NA
2L	ED	Africa_PoolSNP	0.006277	0.006268	NA
2L	EF	Africa_PoolSNP	0.005956	0.005585	0.356074
2L	EG	Africa_PoolSNP	0.007085	0.006931	0.172180
2L	ER	Africa_PoolSNP	0.006329	0.006322	NA
2L	ES_ba_12_fall	Europe_PoolSNP	0.007113	0.00685	0.158592
2L	ES_ba_12_spring	Europe_PoolSNP	0.007015	0.006915	0.077948
2L	ES_Ben_16_32	Europe_PoolSNP	0.005985	0.005988	-0.001856
2L	ES_Cor_15_33	Europe_PoolSNP	0.006855	0.006649	0.140138
2L	ES_Gim_14_34	Europe_PoolSNP	0.006418	0.006494	-0.056028
2L	ES_Gim_14_35	Europe_PoolSNP	0.006871	0.006844	0.019188
2L	ES_Gim_15_30	Europe_PoolSNP	0.006750	0.006627	0.077987
2L	ES_Gim_15_31	Europe_PoolSNP	0.006743	0.006601	0.099583
2L	ES_Gim_16_33	Europe_PoolSNP	0.006754	0.006697	0.057444
2L	ES_Gim_16_34	Europe_PoolSNP	0.006735	0.006714	0.013551
2L	ES_Gua_15_32	Europe_PoolSNP	0.006824	0.006664	0.104974
2L	ES_Pur_16_35	Europe_PoolSNP	0.006573	0.006625	-0.036771
2L	ES_Tom_15_28	Europe_PoolSNP	0.006664	0.006556	0.079760
2L	ES_Tom_15_29	Europe_PoolSNP	0.007007	0.006798	0.125721
2L	ES_Tom_16_36	Europe_PoolSNP	0.006205	0.006308	-0.067591
2L	ES_Tom_16_37	Europe_PoolSNP	0.006558	0.006588	-0.019949
2L	FI_Aka_14_36	Europe_PoolSNP	0.006827	0.006727	0.073722
2L	FI_Aka_14_37	Europe_PoolSNP	0.006898	0.006805	0.065952
2L	FI_Aka_15_34	Europe_PoolSNP	0.006968	0.006763	0.127963
2L	FI_Aka_15_35	Europe_PoolSNP	0.007125	0.006805	0.207004
2L	FI_Aka_16_5	Europe_PoolSNP	0.006603	0.006573	0.020069
2L	FI_Aka_16_6	Europe_PoolSNP	0.006814	0.006681	0.082813
2L	FI_Ves_14_38	Europe_PoolSNP	0.006892	0.006672	0.142473
2L	FI_Ves_16_7	Europe_PoolSNP	0.006776	0.006577	0.124096
2L	FL_ho_10_fall	North America_PoolSNP	0.007458	0.007533	-0.051009
2L	FL_ho_10_spring	North America_PoolSNP	0.007388	0.007029	0.223433
2L	FR	Europe_PoolSNP	0.005069	0.004920	0.132267
2L	FR_Got_14_08	Europe_PoolSNP	0.005593	0.005844	-0.171955
2L	FR_Got_15_47	Europe_PoolSNP	0.005726	0.005595	0.100361
2L	FR_Got_15_48	Europe_PoolSNP	0.005533	0.005320	0.189424
2L	FR_Got_15_49	Europe_PoolSNP	0.005810	0.005740	0.057381
2L	FR_Got_16_8	Europe_PoolSNP	0.005943	0.005978	-0.024991
2L	FR_Vil_14_05	Europe_PoolSNP	0.006151	0.006376	-0.156698
2L	FR_Vil_14_07	Europe_PoolSNP	0.005876	0.006115	-0.170450
2L	FR_Vil_15_40	Europe_PoolSNP	0.006772	0.006560	0.132806
2L	FR_Vil_15_41	Europe_PoolSNP	0.006297	0.006323	-0.016543
2L	FR_Vil_16_9	Europe_PoolSNP	0.006463	0.006421	0.027061
2L	GA	Africa_PoolSNP	0.007370	0.007387	-0.056073
2L	GA_at_14_fall	North America_PoolSNP	0.007139	0.006533	0.341259
2L	GA_at_14_spring	North America_PoolSNP	0.007252	0.006887	0.213707
2L	GA_ha_08_spring	North America_PoolSNP	0.007264	0.006899	0.205706
2L	GU	Africa_PoolSNP	0.007292	0.007282	NA
2L	HU_Sze_16_14	Europe_PoolSNP	0.005923	0.005953	-0.022746
2L	I	North America_PoolSNP	0.005871	0.005882	-0.024695
2L	IL_ur_15_spring	North America_PoolSNP	0.006924	0.006928	-0.002381
2L	IT_Mez_15_43	Europe_PoolSNP	0.006109	0.006108	0.000778
2L	IT_Mez_15_44	Europe_PoolSNP	0.006419	0.006298	0.106109
2L	IT_Tre_16_15	Europe_PoolSNP	0.006103	0.005960	0.119223
2L	KA_to_14_fall	North America_PoolSNP	0.007080	0.007108	-0.016909
2L	KA_to_14_spring	North America_PoolSNP	0.007089	0.007103	-0.008313
2L	KN	Africa_PoolSNP	0.008394	0.008380	NA
2L	MA_la_12_fall	North America_PoolSNP	0.006957	0.006961	-0.002666
2L	MA_la_12_spring	North America_PoolSNP	0.007088	0.007034	0.034355
2L	MA_la_14_fall	North America_PoolSNP	0.006932	0.006869	0.034777
2L	MA_la_14_spring	North America_PoolSNP	0.006857	0.006905	-0.028246
2L	ME_bo_09_fall.r1	North America_PoolSNP	0.006903	0.006880	0.014094
2L	ME_bo_09_fall.r2	North America_PoolSNP	0.006910	0.006928	-0.018281
2L	MI_bh_14_fall	North America_PoolSNP	0.006616	0.006323	0.167032
2L	MI_bh_14_spring	North America_PoolSNP	0.006824	0.006656	0.095209
2L	N	Europe_PoolSNP	0.005820	0.005898	-0.175718
2L	NC_ra_03_n	North America_PoolSNP	0.006790	0.006872	-0.073177
2L	NG	Africa_PoolSNP	0.007165	0.007157	0.177815
2L	NY_it_12_fall	North America_PoolSNP	0.006743	0.006702	0.032051
2L	NY_it_12_spring	North America_PoolSNP	0.006730	0.006567	0.103723
2L	ON_su_15_fall	North America_PoolSNP	0.006842	0.006832	0.006355
2L	ON_su_15_spring	North America_PoolSNP	0.006711	0.006342	0.201188
2L	PA_li_09_fall	North America_PoolSNP	0.006668	0.006690	-0.014104
2L	PA_li_09_spring	North America_PoolSNP	0.006732	0.006417	0.174895
2L	PA_li_10_fall	North America_PoolSNP	0.006898	0.006854	0.026390
2L	PA_li_10_spring	North America_PoolSNP	0.007471	0.007471	-0.000005
2L	PA_li_11_fall	North America_PoolSNP	0.007234	0.007561	-0.178614
2L	PA_li_11_frost	North America_PoolSNP	0.006904	0.006875	0.018714
2L	PA_li_11_spring	North America_PoolSNP	0.006851	0.006807	0.028369
2L	PA_li_12_fall	North America_PoolSNP	0.006934	0.006987	-0.045772
2L	PA_li_12_spring	North America_PoolSNP	0.006978	0.006998	-0.011948
2L	PA_li_12_sum	North America_PoolSNP	0.006970	0.006925	0.029749
2L	PA_li_13_spring	North America_PoolSNP	0.006940	0.006938	0.001016
2L	PA_li_14_fall	North America_PoolSNP	0.007032	0.006969	0.034444
2L	PA_li_14_spring	North America_PoolSNP	0.007167	0.007162	0.002745
2L	PA_li_15_fall	North America_PoolSNP	0.006977	0.006846	0.073714
2L	PA_li_15_spring	North America_PoolSNP	0.006950	0.006700	0.130324
2L	PA_st_14_fall	North America_PoolSNP	0.007060	0.006906	0.089841
2L	PA_st_14_spring	North America_PoolSNP	0.006867	0.006254	0.383820
2L	PA_st_15_spring	North America_PoolSNP	0.006932	0.006851	0.047453
2L	PO_Brz_15_12	Europe_PoolSNP	0.006529	0.006425	0.066645
2L	PO_Brz_16_17	Europe_PoolSNP	0.006656	0.006508	0.093519
2L	PO_Gda_16_16	Europe_PoolSNP	0.006313	0.006057	0.175250
2L	PT_Rec_14_33	Europe_PoolSNP	0.005906	0.005981	-0.056888
2L	PT_Rec_15_16	Europe_PoolSNP	0.006340	0.006074	0.245927
2L	PT_Rec_16_18	Europe_PoolSNP	0.006681	0.006512	0.104257
2L	RAL	North America_PoolSNP	0.006579	0.006528	0.028379
2L	RG	Africa_PoolSNP	0.007165	0.007112	0.042784
2L	RS_Kal_16_28	Europe_PoolSNP	0.005367	0.005234	0.107287
2L	RS_Kal_16_29	Europe_PoolSNP	0.005583	0.005563	0.014526
2L	RS_Sla_16_30	Europe_PoolSNP	0.005415	0.005367	0.038140
