"id","data_source","sfs_method","rd_filter","dist.bin","V1","V2","lat.V1","long.V1","lat.V2","long.V2","popset","dist","locale1","locale2"
"1002","PoolSNP","counts","all",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","SNAPE","counts","all",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","PoolSNP","binom","all",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","SNAPE","binom","all",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","PoolSNP","counts","median_1sd",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","SNAPE","counts","median_1sd",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","PoolSNP","binom","median_1sd",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1002","SNAPE","binom","median_1sd",20,"DK_Kar_14_41","TR_Yes_15_6",55.945128,10.212586,40.231444,32.260328,"WW",27.0743936617317,"DK_Kar","TR_Yes"
"1017","PoolSNP","counts","all",40,"TR_Yes_15_3","UK_Lut_14_13",40.231444,32.260328,52.433592,-1.102667,"WW",35.5243838959091,"TR_Yes","UK_Lut"
"1017","SNAPE","counts","all",40,"TR_Yes_15_3","UK_Lut_14_13",40.231444,32.260328,52.433592,-1.102667,"WW",35.5243838959091,"TR_Yes","UK_Lut"
"1017","PoolSNP","binom","all",40,"TR_Yes_15_3","UK_Lut_14_13",40.231444,32.260328,52.433592,-1.102667,"WW",35.5243838959091,"TR_Yes","UK_Lut"
"1017","SNAPE","binom","all",40,"TR_Yes_15_3","UK_Lut_14_13",40.231444,32.260328,52.433592,-1.102667,"WW",35.5243838959091,"TR_Yes","UK_Lut"
"1017","PoolSNP","counts","median_1sd",40,"TR_Yes_15_3","UK_Lut_14_13",40.231444,32.260328,52.433592,-1.102667,"WW",35.5243838959091,"TR_Yes","UK_Lut"
